# OWASP ZAP baseline rule overrides.
# Format: <rule id>\t<WARN|IGNORE|FAIL>\t<comment>
# Anything not listed keeps the ZAP default (WARN for baseline).
10015	WARN	Incomplete or no cache-control header
10020	FAIL	Missing anti-clickjacking header (X-Frame-Options / CSP frame-ancestors)
10021	FAIL	Missing X-Content-Type-Options header
10035	WARN	Strict-Transport-Security not set (terminated at the ALB)
10038	FAIL	Content Security Policy header not set
10063	WARN	Permissions policy header not set
10096	IGNORE	Timestamp disclosure - static asset fingerprints
10098	WARN	Cross-domain misconfiguration
10109	IGNORE	Modern web application detection - informational
10202	FAIL	Absence of anti-CSRF tokens on state-changing forms
90005	IGNORE	Sec-Fetch headers - informational
